name,address,city,postcode,country,lat,lng,website,operator,phone,opening_hours
The Brockley Jack,408-410 Brockley Road,London,SE4 2DH,GB,51.4534062,-0.038511,https://www.greeneking.co.uk/pubs/greater-london/brockley-jack,,,
Aces and Eights Saloon Bar,156-158 Fortess Road,London,NW5 2HP,GB,51.5566538,-0.1383959,https://www.acesandeightssaloonbar.com/,,,
The Cheshire Cheese,,London,WC2R 3LD,GB,51.5123895,-0.1131849,,,+44 20 7836 2347,
The Corner Flag,472 Hornsey Road,London,,GB,51.5672223,-0.1219758,,,,
The Limping Fox,15 Rushett Road,Thames Ditton,KT7 0UX,GB,51.3860498,-0.3238196,https://www.thelimpingfox.co.uk/,,+44 20 8224 2047,
The BlackStock,284 Seven Sisters Road,London,N4 2HY,GB,51.5645126,-0.104466,,,+44 20 7561 1337,"Mo-Th 14:00-24:00; Fr 14:00-24:00; Sa 00:00-02:00,11:00-24:00; Su 00:00-02:00,11:00-24:00"
Kingswood Arms,Waterhouse Lane,Tadworth,KT20 6EB,GB,51.2949328,-0.2125085,https://www.kingswoodarms.co.uk/,,,
The White Lion of Mortimer,125-127 Stroud Green Road,London,,GB,51.5693773,-0.1126397,,,,
The Gate,,London,,GB,51.6419852,-0.2424157,,,,
The Mint,Park Road,Banstead,SM7 3DS,GB,51.3176651,-0.1901579,,,,Mo-Fr 12:00-23:00; Sa 09:00-23:00; Su 09:00-22:00
The Loft,33 Villier Street,Uxbridge,UB8 2PU,GB,51.5362244,-0.4769664,https://www.theloftuxbridge.com/,,+44 1895 753179,Mo-Fr 15:00-23:00; Sa-Su 12:00-23:00
The Crown,High Street,Uxbridge,UB8 2NL,GB,51.5310186,-0.4820512,,,+44 1895 473713,Mo-Su 12:00-22:00
The Good Mixer,30 Inverness Street,London,NW1 7HB,GB,51.5394566,-0.1446078,,,,
The Oxford Arms,265 Camden High Street,London,NW1 7BU,GB,51.5405479,-0.1443341,,,,Fr-Sa 12:00-02:00; Su-Th 12:00-01:00
The Flying Horse,,London,,GB,51.5165109,-0.1307587,https://www.nicholsonspubs.co.uk/restaurants/london/theflyinghorseoxfordstreetlondon,,,Mo-Sa 11:00-23:00; Su 12:00-22:30
Queen's Head,54 Windsor Street,Uxbridge,UB8 1AB,GB,51.5459392,-0.4799811,https://www.greeneking-pubs.co.uk/pubs/middlesex/queens-head/,,+44 1895 258750,
The Metropolitan,"8,9 Windsor Street",Uxbridge,UB8 1AB,GB,51.5454653,-0.480097,https://www.greatukpubs.co.uk/metropolitan-tavern-uxbridge,Stonegate,+44 1895 230031,Mo-Fr 10:00-22:00; Sa-Su 12:00-22:00
The Fig Tree,49 Windsor Street,Uxbridge,UB8 1AB,GB,51.5455668,-0.4802997,https://www.greeneking-pubs.co.uk/pubs/middlesex/fig-tree/,,+44 1895 257932,Mo-Th 11:00-23:00; Fr-Sa 11:00-01:00; Su 12:00-23:00
Whelans,,London,,GB,51.5476493,-0.4806061,,,,
The Three Tuns,,London,,GB,51.5456282,-0.4788813,https://www.greeneking.co.uk/pubs/middlesex/three-tuns,,,
The Wonder,,London,,GB,51.6630788,-0.0854123,,,,"Mo-Th 11:00-23:00; Su 12:00-23:00; Fr,Sa 11:00-24:00"
The Pied Bull,,London,EN2 9HE,GB,51.6781721,-0.0593586,,,,
The King and Tinker,,London,,GB,51.6813611,-0.0770974,,,,
General Napier,73 Bovill Road,London,SE23 1EX,GB,51.4455382,-0.044651,,,,
The Honor Oak,1 St Germans Road,London,SE23 1RH,GB,51.4432329,-0.0422998,https://www.honoroak.pub/,,,Su-Th 12:00-23:00; Fr-Sa 12:00-25:00
Sir John Balcombe,21 Balcombe Street,London,,GB,51.5234117,-0.1618602,,,,
The Shaftesbury Arms,121-123 Kew Road,Richmond,TW9 2PN,GB,51.465564,-0.299238,,,,
Rose and Crown,,London,,GB,51.671207,-0.083777,,British Waterways/Scottish,,Mo-Sa 12:00-23:00; Su 12:00-22:30
Cricketers Arms,,London,,GB,51.656505,-0.0874147,,,,
No.8 Seven Sisters,,London,,GB,51.5783635,-0.0819029,,,,
Goff's Oak,Newgatestreet Road,London,EN7 5RH,GB,51.7111049,-0.0873963,,,,
The Drapers Arms,24-25 High Street,London,W5 5DB,GB,51.5116826,-0.3051555,,,,
North Nineteen,,London,,GB,51.5646374,-0.1217505,,,,"Mo-Th 16:00-12:00, Fr 16:00-01:00"
The Ship,,London,,GB,51.4986033,0.2564934,,,,
The Grove,,London,,GB,51.5102956,-0.3052313,,,,
The Red Lion,,London,,GB,51.5080196,-0.3050181,https://www.theredlionw5.com/,,,
The Castle Inn,36 St Marys Road,London,W5 5EU,GB,51.5061889,-0.3053344,https://www.castleealing.co.uk/,,,
The Shanakee,,London,,GB,51.5148399,-0.302661,,,,
The North Star,,London,,GB,51.5138717,-0.3018562,,,,
The Wheatsheaf,41 Haven Lane,London,W5 2HZ,GB,51.5169211,-0.299932,https://wheatsheaf-ealing.co.uk/,Fuller's,+44 20 8997 5240,
The Haven Arms,33 Haven Lane,London,W5 2HZ,GB,51.5168303,-0.3000951,http://www.thehavenarms.co.uk/,,+44 20 8997 0378,
Lots Road,114 Lots Road,London,SW10 0RJ,GB,51.4776729,-0.1833426,https://lotsroadchelsea.co.uk/,,+44 20 7352 6645,Mo-Sa 12:00-23:00; Su 12:00-22:00
The Star Tavern,6 Belgrave Mews West,London,SW1X 8HT,GB,51.4984423,-0.155855,https://www.star-tavern-belgravia.co.uk/,Fuller's,,Mo-Fr 11:00-23:00; Sa 12:00-23:00; Su 12:00-22:30
The Queen's Larder,,London,WC1N 3AR,GB,51.5212273,-0.1225308,,,,
The Admiral Byng,Darkes Lane,Potters Bar,,GB,51.6996519,-0.1902719,https://www.jdwetherspoon.com/pubs/all-pubs/england/hertfordshire/the-admiral-byng-potters-bar,,,
The Park Tavern,19 New Road,Kingston upon Thames,KT2 6AP,GB,51.4195033,-0.2875532,,,,
The Cardinal,174 Tudor Drive,Kingston upon Thames,KT2 5QG,GB,51.4265543,-0.2982274,,,,"Tu-Th 17:30-10:30, Fr 12:30-23:30, Sa 12:30-11:30, Su 12:30-21:00"
The Bayswater Arms,,London,,GB,51.5126423,-0.187786,,Taylor Walker,,
Prince Albert,11 Pembridge Road,London,,GB,51.5095361,-0.1975022,https://www.the-prince-albert.co.uk/,,,
The Rose of York,Petersham Road,Richmond,TW10 6UY,GB,51.4505854,-0.3002861,,,,
Tommy Flynns,504 Holloway Road,London,N7 6JA,GB,51.5589274,-0.1206516,,,+442072722066,
The Shawl,320 Northolt Road,Harrow,HA2 8EE,GB,51.5628777,-0.3560203,,,,
Salt Bar,1 Roxeth Hill,Harrow,HA2 0JY,GB,51.5694406,-0.3464574,,,,
The Lord Palmerston,,London,,GB,51.3689042,-0.1619811,,,,
The Turks Head,The Broadway,Staines-upon-Thames,TW18 1SB,GB,51.4099036,-0.4888313,,,,
The Swan,789 Harrow Road,Wembley,HA0 2LP,GB,51.5556251,-0.316774,,,,
Ye Olde Swan,Summer Road,Thames Ditton,KT7 0QQ,GB,51.3929194,-0.3317479,,,,
Duke of Cambridge,,London,,GB,51.4714994,-0.3552674,,,,
Duke of York,,London,,GB,51.4675133,-0.3866606,,,,
Turnpike House,,London,,GB,51.5749285,-0.0719505,,,,
The Black Horse,,London,,GB,51.4778706,-0.3628656,,,,
Lord Nelson,32 Lower Road,Sutton,SM1 4QP,GB,51.3654748,-0.184308,,,,
The Sun,4 North Street,London,SM5 2HU,GB,51.367124,-0.1641978,http://www.thesuncarshalton.com/,,+44 20 8773 4549,Mo-Th 12:00-23:00; Fr-Sa 12:00-24:00; Su 12:00-22:30
Rose & Crown,,Wallington,SM6 7HX,GB,51.3685885,-0.1551403,,,,
The Woodlands Tavern,,London,,GB,51.4729787,-0.3376386,,,,
The Swan Inn,,London,,GB,51.4689419,-0.3241118,https://www.swaninnisleworth.co.uk/,,,
The Red Lion,,London,,GB,51.4735028,-0.3338701,,,,
The Horseshoe Bar,326 Eastcote Lane,London,,GB,51.561967,-0.3727312,,,,
Coach & Horses,,London,,GB,51.3650377,-0.1623319,,,,
Hare and Hounds,,London,,GB,51.4916527,-0.3393015,https://www.hareandhoundsosterley.co.uk/,,,
The Woodman,,London,,GB,51.3650042,-0.1625787,,,,
The Royal Oak,,London,,GB,51.4669866,-0.3408452,https://www.royaloakisleworth.co.uk/,,,
The Railway,,London,,GB,51.3562255,-0.2162302,,,,
The Grumpy Mole,,London,,GB,51.3556652,-0.2222369,,,,
The Harrow,,London,,GB,51.3576314,-0.2157505,https://www.crafted-social.co.uk/harrow-cheam,Stonegate,,
The Railway Tavern,47 North Street,Carshalton,SM5 2HG,GB,51.3693298,-0.1658625,https://www.railwaytaverncarshalton.co.uk/,,,
The Butterchurn,Erskine Road,Sutton,SM1 3AS,GB,51.369505,-0.1802281,https://www.greeneking.co.uk/pubs/surrey/butterchurn,,,
Harvest Home,27 Beddington Lane,Croydon,CR0 4TG,GB,51.3723143,-0.1316804,,,,
Horse & Groom,131 Merton High Street,London,SW19 1DE,GB,51.4155329,-0.1917749,https://www.craftunionpubs.com/horse-and-groom-wimbledon,Stonegate,,
The Sultan,78 Norman Road,London,SW19 1BN,GB,51.4185272,-0.1853025,,,,
The Nightingale,53 Carshalton Road,Sutton,SM1 4LG,GB,51.3627599,-0.1852127,,,,
The King Harold,,London,,GB,51.5940913,0.2351305,,,,
The Baring Arms,55 Baring Street,London,N1 3DS,GB,51.537057,-0.0884773,,,,
London Hospital Tavern,176 Whitechapel Road,London,E1 1BJ,GB,51.5190934,-0.0589373,,,,
The Temperance,90 Fulham High Street,London,SW6 3LF,GB,51.4693971,-0.2104963,https://www.crafted-social.co.uk/temperance-fulham,Stonegate,,
The Volunteer,245-247 Baker Street,London,,GB,51.5239797,-0.1585799,https://www.thevolunteernw1.co.uk/,,,
The Colonel Fawcett,1 Randolph Street,London,NW1 0SS,GB,51.54181,-0.1359896,https://thecolonelfawcett.co.uk/,,,
The Marlborough Arms,36 Torrington Place,London,WC1E 7HJ,GB,51.5218219,-0.1337724,https://www.greeneking.co.uk/pubs/greater-london/marlborough-arms,,,
The White Hart Inn,121 Kneller Road,London,TW2 7DY,GB,51.4557401,-0.3542958,,,,
The Duke of Cambridge,Kneller Road,London,TW2 7DT,GB,51.4547683,-0.3514212,,,,
The Duke of Wellington,260 Haggerston Road,London,E8 4EP,GB,51.5401086,-0.0744743,,,,
The Crown,28 Wickham Road,Croydon,CR0 8BA,GB,51.3736894,-0.05418,,,,
The Lord Clyde,,London,,GB,51.4666594,-0.3587255,,,,
The Bolton,326 Old Brompton Road,London,SW5 9BQ,GB,51.4895785,-0.1904313,https://www.theboltonearlscourt.co.uk/,O'Neills,,Mo-Th 12:00-23:00; Fr 12:00-00:00; Sa 10:00-00:00; Su 10:00-23:00
The Bulstrode Pub,55 Lampton Road,Hounslow,TW3 1JG,GB,51.4707517,-0.3669356,,,,
The Wharf,Wharf Road South,Grays,RM17 6SZ,GB,51.4743431,0.3145286,,,,
Shirley Inn,158 Wickham Road,Croydon,CR0 8BF,GB,51.3743818,-0.0502512,,,,
The Cricketers,107 Addiscombe Road,Croydon,CR0 6SG,GB,51.3751766,-0.0836591,,,,
The Goose at the George,5 The Town,Enfield,EN2 6LE,GB,51.6519527,-0.0814868,,,,
The Hop Poles,,London,,GB,51.6631766,-0.0773879,,,,
The Jolly Farmers,,London,,GB,51.6547576,-0.1077361,,,,
The Stag,,London,,GB,51.6528776,-0.0865804,,,,
Jolly Butchers,,London,,GB,51.6594925,-0.0799229,,,,
The Wheatsheaf,,London,,GB,51.6599599,-0.0792592,,,,
The Greystoke,7 Queens Parade,London,W5 3HU,GB,51.5169424,-0.2899892,https://www.greeneking.co.uk/pubs/greater-london/greystoke,,,
The Sir Julian Huxley,152-154 Addington Road,South Croydon,CR2 8LB,GB,51.3434396,-0.0624612,https://www.jdwetherspoon.com/pubs/the-sir-julian-huxley-selsdon,,,Mo-Th 08:00-24:00; Fr-Sa 08:00-01:00; Su 08:00-24:00
The Bricklayers Arms,237 High Street,Beckenham,BR3 1BN,GB,51.4067174,-0.0318015,,,,
Ye George Inn,111 High Street,Beckenham,BR3 1AG,GB,51.4072361,-0.0276499,https://www.thegeorgeinnbeckenham.co.uk/#/,,+44 208 663 3468,
O'Neils,9 High Street,Beckenham,BR3 1AZ,GB,51.4104781,-0.024671,,,,
Fox Under The Hill,286 Shooters Hill Road,London,SE18 4LT,GB,51.4738476,0.039705,,,+44 20 8856 5518,Mo-Th 11:00-23:00; Fr 11:00-24:00; Sa 09:00-24:00; Su 09:00-23:00
The Harrow,,London,,GB,51.3195125,-0.0429315,,,,Mo-Sa 12:00-23:00; Su 12:00-22:00
The Bull Inn,,London,,GB,51.3139216,-0.0325699,,,,
The Jolly Gardeners,,London,,GB,51.4857401,-0.4057765,,,,
Duke of St. Albans,15 Highgate Road,London,NW5 1QX,GB,51.5614305,-0.1504467,https://www.dukeofstalbans.com/,,,"Mo-Th 12:00-23:00; Fr,Sa 10:00-00:00; Su 12:00-22:00"
The Swan,2-4 High Street,West Wickham,BR4 0NJ,GB,51.3758911,-0.0148923,,,,
The Nottingham Castle,257 Wandsworth Road,London,SW8 2NB,GB,51.4787002,-0.1288063,,,,
The Alice,133 Houndsditch,London,EC3A 7BX,GB,51.5149285,-0.0778751,https://www.crafted-social.co.uk/alice-houndsditch-london,Stonegate,,
The Lion Houndsditch,31 Houndsditch,London,EC3A 7DB,GB,51.5148281,-0.0781193,,,,
The Camel,,London,,GB,51.4935531,-0.1418267,,,,
The Swan and Mitre,262 High Street,Bromley,BR1 1PG,GB,51.4070877,0.0116437,https://www.greeneking.co.uk/pubs/kent/swan-and-mitre,,,
Wattenden Arms,Old Lodge Lane,Kenley,CR8 5EU,GB,51.3076722,-0.1023778,,,,
The Bell and Crown,,London,,GB,51.4869374,-0.2830003,https://www.bell-and-crown.co.uk/,,,
The Bull's Head,,London,,GB,51.4844753,-0.2783571,https://www.chefandbrewer.com/pubs/greater-london/bulls-head,,,
The Phoenix,348 Clapham Road,London,,GB,51.4687716,-0.1270502,,,,
The Maypole,2 Hook Road,Surbiton,KT6 5BH,GB,51.3825845,-0.3009294,,,,
The New Inn,Send Road,Send,GU23 7EN,GB,51.29448,-0.5417217,https://www.thenewinnsend.com/,,,
The White Ferry,1a Sutherland Street,London,SW1V 4LD,GB,51.4889866,-0.1467405,,,,"Mo-Su,PH 00:00-00:00"
Prince Of Wales,52 Perry Rise,London,SE23 2QL,GB,51.4337044,-0.0424719,,,,
The Moon on the Hill,5-9 Hill Road,London,SM1 1DZ,GB,51.3618835,-0.1932923,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-moon-on-the-hill-sutton,,,
The Morgan Arms,43 Morgan Street,London,E3 5AA,GB,51.5279082,-0.0309841,https://www.morganarmsbow.com/,,,Mo-Sa 12:00-23:00; Su 12:00-22:30
The Five Bells,,London,,GB,51.4571449,-0.4785802,,,,
The Rising Sun,108 - 110 Oaks Road,Staines-upon-Thames,TW19 7LB,GB,51.4602835,-0.4766612,,,,
The Pembroke Castle,150 Gloucester Avenue,London,,GB,51.5425434,-0.1548897,,,,
The County Arms,345 Trinity Road,London,SW18 3SH,GB,51.4500913,-0.1743309,,Youngs,,
The Hope,1 Bellevue Road,London,SW17 7EG,GB,51.4461541,-0.1654356,,,,
The Pineapple,25 Wilfred Street,London,SW1E 6PR,GB,51.4986377,-0.139521,https://www.greeneking.co.uk/pubs/greater-london/colonies,,,
Cask & Glass,39-41 Palace Street,London,SW1E 5HN,GB,51.4985497,-0.1402518,,,,
The Jolly Waggoners,,London,,GB,51.4777129,-0.4049338,,,,
Hen and Chickens theatre & bar,,London,,GB,51.5460243,-0.1019468,,,,
The Perry Hill,,London,,GB,51.4362614,-0.0346656,,,,
The Anchor,,London,,GB,51.2816421,-0.3683612,,,,
The Pineapple,51 Leverton Street,London,NW5 2NX,GB,51.5529728,-0.1396355,https://www.thepineapplepubnw5.com/,,+44 20 7284 4631,Mo-Th 12:00-23:00; Fr-Sa 12:00-00:00; Su 12:00-22:30
The Furzedown,118 Mitcham Lane,London,SW16 6NR,GB,51.4242687,-0.1420041,,,,
The Plough,The Broadway,Croydon,CR0 4QR,GB,51.3675107,-0.1321916,https://www.youngs.co.uk/pub-detail.asp?PubID=437,Young & Co,,
Royal Oak,86 St Anns Road,Harrow,HA1 1JP,GB,51.5816235,-0.3378121,https://www.greeneking-pubs.co.uk/pubs/middlesex/royal-oak/,,,
The Swan,,London,,GB,51.4571771,-0.4802101,,,,
The George & Dragon,2 Blackheath Hill,London,SE10 8DE,GB,51.472899,-0.0151598,https://georgedragon.com/,,+44 20 8691 3764,Th 18:00-26:00; Fr-Sa 18:00-28:00; Su 16:00-26:00
Queen's Head,,London,,GB,51.5943364,-0.3807397,,,,
The Druids Head,3 Market Place,Kingston upon Thames,KT1 1JT,GB,51.4093122,-0.3064476,https://www.greeneking.co.uk/pubs/surrey/druids-head,,,Mo-Th 11:00-23:00; Fr 11:00-01:00; Sa 10:00-01:00; Su 10:00-23:00
The Fox,,London,,GB,51.5042436,-0.3433342,,,,
The Grosvenor,127 Oaklands Road,London,W7 2DT,GB,51.5067265,-0.3276291,https://www.grosvenorpub.com/,,+442088400007,Mo-Sa 12:00-23:20; Su 12:00-22:50
The Green W7,13 Lower Boston Road,London,W7 3TX,GB,51.5071386,-0.3395948,https://www.thegreenw7.com/,,,Su-We 09:00-23:00; Th-Sa 11:00-00:00
The Alexandra,,London,,GB,51.4612829,-0.1382297,,,,
Belle Vue,1 Clapham Common South Side,London,SW4 7AA,GB,51.4618322,-0.1376414,,,,
The Abbeville,67-69 Abbeville Road,London,SW4 9JW,GB,51.454953,-0.1395127,,,,
Walkers of Whitehall,15 Craig's Court,London,SW1A 2DD,GB,51.5067276,-0.1269618,,,,
Halfway II Heaven,7 Duncannon Street,London,WC2N 4JF,GB,51.5084752,-0.1267238,https://www.halfway2heaven.net/london,Stonegate,+44 20 7484 0736,"Mo-Th 12:00-23:00; Fr, Sa 12:00-01:00; Su 12:00-20:00"
The Plough,57 Flamstead End Road,Cheshunt,EN8 0JB,GB,51.7121198,-0.0505227,,,,
The Smuggler's Inn,320 Chipstead Valley Road,Coulsdon,CR5 3BE,GB,51.3189353,-0.1505156,,,+44 1737 550 043,Mo-Su 08:00-23:00
The Horniman,Counter Street,London,SE1 2HD,GB,51.5061115,-0.0829214,,,,Mo-Su 11:00-23:00; Th-Sa 11:00-23:30
Sports Bar & Grill,174-180 Old Street,London,EC1V 9BP,GB,51.525197,-0.0900377,,,,
The Vine,86 Highgate Road,London,NW5 1PB,GB,51.5547125,-0.1444787,,,,
The Victoria,,London,,GB,51.4644128,-0.3277821,,,,
The Moby Dick,6 Russell Place,London,SE16 7PL,GB,51.4954636,-0.0395511,https://www.mobydickgreenlanddock.co.uk/,Fuller's,,
Traders,,London,,GB,51.4661242,-0.1421645,,,,
The Rose and Crown,2 The Polygon,London,SW4 0JG,GB,51.4637043,-0.14135,,,,
The Sun,47 Old Town,London,SW4 0JL,GB,51.4639712,-0.1409221,,,,
The Grafton,,London,,GB,51.465258,-0.1410423,,,,
The Calf,87 Rectory Grove,London,SW4 0DR,GB,51.4655827,-0.1410858,,,,
The Clapham Tap,128 Clapham Manor Street,London,SW4 6ED,GB,51.4642991,-0.1353883,https://the-clapham-tap.business.site/,,+44 20 7498 9633,Mo-Th 16:00-23:00; Fr 16:00-00:00; Sa 12:00-00:00; Su 12:00-23:00
The Railway Tavern,18 Clapham High Street,London,SW4 7UR,GB,51.4645547,-0.1311338,,,,
The Plough,297 Northfield Avenue,London,W5 4XB,GB,51.497219,-0.312545,https://www.ploughnorthfields.co.uk/,Fuller's,,"Su-Th 11:00-24:00; Fr,Sa 11:00-00:30"
Dockers Inn,97 Wapping Lane,London,E1W 2RW,GB,51.5048793,-0.0573725,https://dockersinn.co.uk/,,,"Mo-Th 12:00-23:00, Fr,Sa 12:00-01:30, Su 12:00-22:30"
The Chancery,90 Bromley Road,Beckenham,BR3 5NP,GB,51.4068967,-0.0174421,,,,
Jolly Woodman,9 Chancery Lane,Beckenham,BR3 6NR,GB,51.4067114,-0.0180915,,,,
Betty,,London,,GB,51.4917587,-0.2622862,,,,
The Goose,264 Hoe Street,London,E17 3AX,GB,51.5833767,-0.0191396,https://www.greatukpubs.co.uk/goose-walthamstow/contact,Stonegate,+44 20 8520 4751,Mo-Th 11:00-00:00; Fr 11:00-01:00; Sa 10:00-01:00; Su 10:00-23:00
The William Morris,807-809 Forest Road,London,E17 4JD,GB,51.5912043,-0.0077676,,,,
Prince Arthur,123 Uxbridge Road,London,W13 9AU,GB,51.5114253,-0.3150232,,,+44 20 8567 4446,
Star And Scorpion,94 Uxbridge Road,London,W13 8RA,GB,51.5115625,-0.3159141,,,,
The Greyhound,,London,,GB,51.5913275,-0.2279046,,,,
Claddagh Ring,,London,,GB,51.5901278,-0.226129,https://www.claddagh-ring.co.uk/,,+44 20 8203 2600,
The Hawbush,,London,,GB,51.5814345,0.1167026,,,,
The Pheasant,,London,,GB,51.4851696,-0.4404949,,,,
The Wheatsheaf,,London,,GB,51.4857689,-0.4350514,,,,
The Bedford,77 Bedford Hill,London,SW12 9HD,GB,51.4427243,-0.1493607,,,,
The Blue Ball,Deans Lane,Tadworth,KT20 7UE,GB,51.2835124,-0.241072,,,,
The Fox & Hounds,62 Walton Street,Walton On The Hill,KT20 7RU,GB,51.283139,-0.2460049,,,,
The Pilot,,London,,GB,51.4902978,-0.277684,https://www.pilot-chiswick.co.uk/,,,
The Duke of Sussex,75 South Parade,London,W4 5LF,GB,51.4962711,-0.2641399,https://www.thedukeofsussex.co.uk/,,+44 20 8742 8801,Mo-Th 12:00-23:00; Fr-Sa 12:00-24:00; Su 12:00-22:00
The William Garland,4 The Square,Caterham,CR3 6QA,GB,51.2824247,-0.0771832,https://www.greeneking.co.uk/pubs/surrey/william-garland,,,
Crown and Pepper,32 Godstone Road,Caterham,CR3 6RA,GB,51.2813043,-0.0754971,,,,
Ashley Park,Ashley Park Road,Walton-On-Thames,KT12 1JP,GB,51.3733737,-0.4153446,,,,
The George Inn,24 Bridge Street,Walton-On-Thames,KT12 1AH,GB,51.3870836,-0.4212786,https://www.georgeinnwalton.co.uk/,,+44 1932 223046,
The Bear,30 Bridge Street,Walton-On-Thames,KT12 1AH,GB,51.3870736,-0.4218566,,,,
The Barley Mow,,London,,GB,51.3684,-0.3968187,,,,
King William IV,392 Sipson Road,London,UB7 0HT,GB,51.4901149,-0.4578428,,,,
The Crown,High Street,West Drayton,UB7 0AJ,GB,51.4887565,-0.4779067,,,+44 20 8759 1007,Mo-Sa 12:00-23:00; Su 12:00-22:30
King's Head,2 Crouch End Hill,London,N8 8AA,GB,51.5782929,-0.1242398,https://www.thekingsheadcrouchend.co.uk/#/,,,Mo-We 12:00-23:00; Th-Fr 12:00-24:00; Sa 11:00-25:00; Su 12:00-22:00
McCaffertys Bar,134 High Street,Epsom,KT19 8BT,GB,51.3326883,-0.2706674,https://epsom.mccaffertysbars.com,,,
Acorn 30,,London,,GB,51.3320433,-0.2710528,,,,
The Rising Sun,14 Heathcote Road,London,KT18 5DX,GB,51.3307962,-0.263292,,,,
The Amato,Chalk Lane,Epsom,KT18 7AS,GB,51.3243531,-0.2683366,,,,
The George IV,31 Portugal Street,London,WC2A 2HF,GB,51.5147063,-0.1168421,,London School of Economics and Political Science (LSE),,12:00-24:00
The Bollo,,London,,GB,51.4955664,-0.2700726,,,,
The Rochester Castle,"143, 145 Stoke Newington High Street",London,N16 0NY,GB,51.5609825,-0.0740121,,,+44 20 7249 6016,Su-Th 08:00-24:00; Fr-Sa 08:00-25:00
Pied Bull,High Street,Dartford,DA4 0DG,GB,51.3793928,0.2231513,,,,
Malt Shovel,Station Road,London,DA4 0ER,GB,51.3672457,0.2106111,,,,
The King's Arms,,London,,GB,51.4878141,-0.310766,,,,
The Hart,,London,,GB,51.4933656,-0.2433411,,,,
The New Inn,,London,,GB,51.4892112,-0.3021118,,,,
The Brook,,London,,GB,51.4882823,-0.3046086,,,,
The Griffin,,London,,GB,51.4870591,-0.3029644,https://www.griffinbrentford.co.uk/,,,
